epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6130198836326599,0.6430123448371887,0.0010000000474974513,0.6473245620727539,0.449438214302063,0.19512194395065308,0.6290322542190552,0.8026756048202515,0.6799637079238892,0.0,0.0
1,0.7124773859977722,0.8477221727371216,0.0010000000474974513,0.5555766224861145,0.9791666865348816,0.22926829755306244,0.6290322542190552,0.8428093194961548,0.6654598116874695,0.0,0.0
2,0.797468364238739,0.8935450315475464,0.0010000000474974513,0.4883766174316406,0.9894737005233765,0.4585365951061249,0.6290322542190552,0.846711277961731,0.6560301780700684,0.0,0.0
3,0.8716093897819519,0.9115293025970459,0.0010000000474974513,0.4281778037548065,0.9589040875434875,0.6829268336296082,0.6935483813285828,0.829431414604187,0.6420799493789673,1.0,0.17391304671764374
4,0.8896926045417786,0.926584005355835,0.0010000000474974513,0.36830973625183105,0.949999988079071,0.7414634227752686,0.7903226017951965,0.8277591466903687,0.6256195902824402,1.0,0.43478259444236755
5,0.8933092355728149,0.9325133562088013,0.0010000000474974513,0.3311992883682251,0.956250011920929,0.7463414669036865,0.8548387289047241,0.8199553489685059,0.6111905574798584,1.0,0.6086956262588501
6,0.9041591286659241,0.9428511261940002,0.0010000000474974513,0.2900211215019226,0.9523809552192688,0.7804877758026123,0.8870967626571655,0.8210701942443848,0.6025809049606323,1.0,0.695652186870575
7,0.9041591286659241,0.9526983499526978,0.0010000000474974513,0.2602877616882324,0.9578313231468201,0.7756097316741943,0.8709677457809448,0.8205128312110901,0.5943019986152649,0.9411764740943909,0.695652186870575
8,0.909584105014801,0.9615363478660583,0.0010000000474974513,0.23506903648376465,0.9640718698501587,0.785365879535675,0.8709677457809448,0.8232998847961426,0.5831453800201416,0.8947368264198303,0.739130437374115
9,0.9077757596969604,0.9711662530899048,0.0010000000474974513,0.21341541409492493,0.9583333134651184,0.785365879535675,0.8064516186714172,0.8210702538490295,0.5846062302589417,0.739130437374115,0.739130437374115
